Title,Authors,Abstract,Published,Category,PDF_Link,Link,processed_text,citation_weight,entropy_score,recalibration_factor
A Deep Reinforcement Learning Approach for Ramp Metering Based on Traffic Video Data,"Bing Liu, Yu Tang, Yuxiong Ji, Yu Shen, Yuchuan Du","Ramp metering that uses traffic signals to regulate vehicle flows from the on-ramps has been widely implemented to improve vehicle mobility of the freeway. Previous studies generally update signal timings in real-time based on predefined traffic measures collected by point detectors, such as traffic volumes and occupancies. Comparing with point detectors, traffic cameras-which have been increasingly deployed on road networks-could cover larger areas and provide more detailed traffic information. In this work, we propose a deep reinforcement learning (DRL) method to explore the potential of traffic video data in improving the efficiency of ramp metering. The proposed method uses traffic video frames as inputs and learns the optimal control strategies directly from the high-dimensional visual inputs. A real-world case study demonstrates that, in comparison with a state-of-the-practice method, the proposed DRL method results in 1) lower travel times in the mainline, 2) shorter vehicle queues at the on-ramp, and 3) higher traffic flows downstream of the merging area. The results suggest that the proposed method is able to extract useful information from the video data for better ramp metering controls.",2020-12-09T05:08:41Z,cs.CV,https://arxiv.org/pdf/2012.12104v1,https://arxiv.org/abs/2012.12104v1,ramp metering us traffic signal regulate vehicle flow onramps widely implemented improve vehicle mobility freeway previous study generally update signal timing realtime based predefined traffic measure collected point detector traffic volume occupancy comparing point detector traffic cameraswhich increasingly deployed road networkscould cover larger area provide detailed traffic information work propose deep reinforcement learning drl method explore potential traffic video data improving efficiency ramp metering proposed method us traffic video frame input learns optimal control strategy directly highdimensional visual input realworld case study demonstrates comparison stateofthepractice method proposed drl method result lower travel time mainline shorter vehicle queue onramp higher traffic flow downstream merging area result suggest proposed method able extract useful information video data better ramp metering control,0.686046511627907,0.9882341034255329,1.3389872796634095
Rethink AI-based Power Grid Control: Diving Into Algorithm Design,"Xiren Zhou, Siqi Wang, Ruisheng Diao, Desong Bian, Jiahui Duan, Di Shi","Recently, deep reinforcement learning (DRL)-based approach has shown promisein solving complex decision and control problems in power engineering domain.In this paper, we present an in-depth analysis of DRL-based voltage control fromaspects of algorithm selection, state space representation, and reward engineering.To resolve observed issues, we propose a novel imitation learning-based approachto directly map power grid operating points to effective actions without any interimreinforcement learning process. The performance results demonstrate that theproposed approach has strong generalization ability with much less training time.The agent trained by imitation learning is effective and robust to solve voltagecontrol problem and outperforms the former RL agents.",2020-12-23T23:38:41Z,cs.AI,https://arxiv.org/pdf/2012.13026v1,https://arxiv.org/abs/2012.13026v1,recently deep reinforcement learning drlbased approach shown promisein solving complex decision control problem power engineering domainin paper present indepth analysis drlbased voltage control fromaspects algorithm selection state space representation reward engineeringto resolve observed issue propose novel imitation learningbased approachto directly map power grid operating point effective action without interimreinforcement learning process performance result demonstrate theproposed approach strong generalization ability much less training timethe agent trained imitation learning effective robust solve voltagecontrol problem outperforms former rl agent,0.4418604651162791,0.9917296498112599,1.219103062167604
Fuzzy Commitments Offer Insufficient Protection to Biometric Templates Produced by Deep Learning,"Danny Keller, Margarita Osadchy, Orr Dunkelman","In this work, we study the protection that fuzzy commitments offer when they are applied to facial images, processed by the state of the art deep learning facial recognition systems. We show that while these systems are capable of producing great accuracy, they produce templates of too little entropy. As a result, we present a reconstruction attack that takes a protected template, and reconstructs a facial image. The reconstructed facial images greatly resemble the original ones. In the simplest attack scenario, more than 78% of these reconstructed templates succeed in unlocking an account (when the system is configured to 0.1% FAR). Even in the ""hardest"" settings (in which we take a reconstructed image from one system and use it in a different system, with different feature extraction process) the reconstructed image offers 50 to 120 times higher success rates than the system's FAR.",2020-12-24T15:28:33Z,cs.CR,https://arxiv.org/pdf/2012.13293v1,https://arxiv.org/abs/2012.13293v1,work study protection fuzzy commitment offer applied facial image processed state art deep learning facial recognition system show system capable producing great accuracy produce template little entropy result present reconstruction attack take protected template reconstructs facial image reconstructed facial image greatly resemble original one simplest attack scenario reconstructed template succeed unlocking account system configured far even hardest setting take reconstructed image one system use different system different feature extraction process reconstructed image offer time higher success rate system far,0.45930232558139533,0.9946063652899205,1.2284125083078596
Generalization in portfolio-based algorithm selection,"Maria-Florina Balcan, Tuomas Sandholm, Ellen Vitercik","Portfolio-based algorithm selection has seen tremendous practical success over the past two decades. This algorithm configuration procedure works by first selecting a portfolio of diverse algorithm parameter settings, and then, on a given problem instance, using an algorithm selector to choose a parameter setting from the portfolio with strong predicted performance. Oftentimes, both the portfolio and the algorithm selector are chosen using a training set of typical problem instances from the application domain at hand. In this paper, we provide the first provable guarantees for portfolio-based algorithm selection. We analyze how large the training set should be to ensure that the resulting algorithm selector's average performance over the training set is close to its future (expected) performance. This involves analyzing three key reasons why these two quantities may diverge: 1) the learning-theoretic complexity of the algorithm selector, 2) the size of the portfolio, and 3) the learning-theoretic complexity of the algorithm's performance as a function of its parameters. We introduce an end-to-end learning-theoretic analysis of the portfolio construction and algorithm selection together. We prove that if the portfolio is large, overfitting is inevitable, even with an extremely simple algorithm selector. With experiments, we illustrate a tradeoff exposed by our theoretical analysis: as we increase the portfolio size, we can hope to include a well-suited parameter setting for every possible problem instance, but it becomes impossible to avoid overfitting.",2020-12-24T16:33:17Z,cs.AI,https://arxiv.org/pdf/2012.13315v1,https://arxiv.org/abs/2012.13315v1,portfoliobased algorithm selection seen tremendous practical success past two decade algorithm configuration procedure work first selecting portfolio diverse algorithm parameter setting given problem instance using algorithm selector choose parameter setting portfolio strong predicted performance oftentimes portfolio algorithm selector chosen using training set typical problem instance application domain hand paper provide first provable guarantee portfoliobased algorithm selection analyze large training set ensure resulting algorithm selector average performance training set close future expected performance involves analyzing three key reason two quantity may diverge learningtheoretic complexity algorithm selector size portfolio learningtheoretic complexity algorithm performance function parameter introduce endtoend learningtheoretic analysis portfolio construction algorithm selection together prove portfolio large overfitting inevitable even extremely simple algorithm selector experiment illustrate tradeoff exposed theoretical analysis increase portfolio size hope include wellsuited parameter setting every possible problem instance becomes impossible avoid overfitting,0.7790697674418605,0.9934791378534604,1.3869947804429177
"I like fish, especially dolphins: Addressing Contradictions in Dialogue Modeling","Yixin Nie, Mary Williamson, Mohit Bansal, Douwe Kiela, Jason Weston","To quantify how well natural language understanding models can capture consistency in a general conversation, we introduce the DialoguE COntradiction DEtection task (DECODE) and a new conversational dataset containing both human-human and human-bot contradictory dialogues. We then compare a structured utterance-based approach of using pre-trained Transformer models for contradiction detection with the typical unstructured approach. Results reveal that: (i) our newly collected dataset is notably more effective at providing supervision for the dialogue contradiction detection task than existing NLI data including those aimed to cover the dialogue domain; (ii) the structured utterance-based approach is more robust and transferable on both analysis and out-of-distribution dialogues than its unstructured counterpart. We also show that our best contradiction detection model correlates well with human judgments and further provide evidence for its usage in both automatically evaluating and improving the consistency of state-of-the-art generative chatbots.",2020-12-24T18:47:49Z,cs.CL,https://arxiv.org/pdf/2012.13391v2,https://arxiv.org/abs/2012.13391v2,quantify well natural language understanding model capture consistency general conversation introduce dialogue contradiction detection task decode new conversational dataset containing humanhuman humanbot contradictory dialogue compare structured utterancebased approach using pretrained transformer model contradiction detection typical unstructured approach result reveal newly collected dataset notably effective providing supervision dialogue contradiction detection task existing nli data including aimed cover dialogue domain ii structured utterancebased approach robust transferable analysis outofdistribution dialogue unstructured counterpart also show best contradiction detection model correlate well human judgment provide evidence usage automatically evaluating improving consistency stateoftheart generative chatbots,0.5174418604651163,0.9924354018057658,1.2567638103509102
Skeleton-based Approaches based on Machine Vision: A Survey,"Jie Li, Binglin Li, Min Gao","Recently, skeleton-based approaches have achieved rapid progress on the basis of great success in skeleton representation. Plenty of researches focus on solving specific problems according to skeleton features. Some skeleton-based approaches have been mentioned in several overviews on object detection as a non-essential part. Nevertheless, there has not been any thorough analysis of skeleton-based approaches attentively. Instead of describing these techniques in terms of theoretical constructs, we devote to summarizing skeleton-based approaches with regard to application fields and given tasks as comprehensively as possible. This paper is conducive to further understanding of skeleton-based application and dealing with particular issues.",2020-12-23T02:03:37Z,cs.CV,https://arxiv.org/pdf/2012.12447v1,https://arxiv.org/abs/2012.12447v1,recently skeletonbased approach achieved rapid progress basis great success skeleton representation plenty research focus solving specific problem according skeleton feature skeletonbased approach mentioned several overview object detection nonessential part nevertheless thorough analysis skeletonbased approach attentively instead describing technique term theoretical construct devote summarizing skeletonbased approach regard application field given task comprehensively possible paper conducive understanding skeletonbased application dealing particular issue,0.3488372093023256,0.9930426771311607,1.1732051181042722
Overview of FPGA deep learning acceleration based on convolutional neural network,Simin Liu,"In recent years, deep learning has become more and more mature, and as a commonly used algorithm in deep learning, convolutional neural networks have been widely used in various visual tasks. In the past, research based on deep learning algorithms mainly relied on hardware such as GPUs and CPUs. However, with the increasing development of FPGAs, both field programmable logic gate arrays, it has become the main implementation hardware platform that combines various neural network deep learning algorithms This article is a review article, which mainly introduces the related theories and algorithms of convolution. It summarizes the application scenarios of several existing FPGA technologies based on convolutional neural networks, and mainly introduces the application of accelerators. At the same time, it summarizes some accelerators' under-utilization of logic resources or under-utilization of memory bandwidth, so that they can't get the best performance.",2020-12-23T12:44:24Z,cs.AI,https://arxiv.org/pdf/2012.12634v1,https://arxiv.org/abs/2012.12634v1,recent year deep learning become mature commonly used algorithm deep learning convolutional neural network widely used various visual task past research based deep learning algorithm mainly relied hardware gpus cpu however increasing development fpgas field programmable logic gate array become main implementation hardware platform combine various neural network deep learning algorithm article review article mainly introduces related theory algorithm convolution summarizes application scenario several existing fpga technology based convolutional neural network mainly introduces application accelerator time summarizes accelerator underutilization logic resource underutilization memory bandwidth cant get best performance,0.5116279069767442,0.9947735279165907,1.2544769490019185
Modelling Human Routines: Conceptualising Social Practice Theory for Agent-Based Simulation,"Rijk Mercuur, Virginia Dignum, Catholijn M. Jonker","Our routines play an important role in a wide range of social challenges such as climate change, disease outbreaks and coordinating staff and patients in a hospital. To use agent-based simulations (ABS) to understand the role of routines in social challenges we need an agent framework that integrates routines. This paper provides the domain-independent Social Practice Agent (SoPrA) framework that satisfies requirements from the literature to simulate our routines. By choosing the appropriate concepts from the literature on agent theory, social psychology and social practice theory we ensure SoPrA correctly depicts current evidence on routines. By creating a consistent, modular and parsimonious framework suitable for multiple domains we enhance the usability of SoPrA. SoPrA provides ABS researchers with a conceptual, formal and computational framework to simulate routines and gain new insights into social systems.",2020-12-22T10:06:47Z,cs.MA,https://arxiv.org/pdf/2012.11903v1,https://arxiv.org/abs/2012.11903v1,routine play important role wide range social challenge climate change disease outbreak coordinating staff patient hospital use agentbased simulation ab understand role routine social challenge need agent framework integrates routine paper provides domainindependent social practice agent sopra framework satisfies requirement literature simulate routine choosing appropriate concept literature agent theory social psychology social practice theory ensure sopra correctly depicts current evidence routine creating consistent modular parsimonious framework suitable multiple domain enhance usability sopra sopra provides ab researcher conceptual formal computational framework simulate routine gain new insight social system,0.5058139534883721,0.9898483702584663,1.2503395587572284
Dynamic-K Recommendation with Personalized Decision Boundary,"Yan Gao, Jiafeng Guo, Yanyan Lan, Huaming Liao","In this paper, we investigate the recommendation task in the most common scenario with implicit feedback (e.g., clicks, purchases). State-of-the-art methods in this direction usually cast the problem as to learn a personalized ranking on a set of items (e.g., webpages, products). The top-N results are then provided to users as recommendations, where the N is usually a fixed number pre-defined by the system according to some heuristic criteria (e.g., page size, screen size). There is one major assumption underlying this fixed-number recommendation scheme, i.e., there are always sufficient relevant items to users' preferences. Unfortunately, this assumption may not always hold in real-world scenarios. In some applications, there might be very limited candidate items to recommend, and some users may have very high relevance requirement in recommendation. In this way, even the top-1 ranked item may not be relevant to a user's preference. Therefore, we argue that it is critical to provide a dynamic-K recommendation, where the K should be different with respect to the candidate item set and the target user. We formulate this dynamic-K recommendation task as a joint learning problem with both ranking and classification objectives. The ranking objective is the same as existing methods, i.e., to create a ranking list of items according to users' interests. The classification objective is unique in this work, which aims to learn a personalized decision boundary to differentiate the relevant items from irrelevant items. Based on these ideas, we extend two state-of-the-art ranking-based recommendation methods, i.e., BPRMF and HRM, to the corresponding dynamic-K versions, namely DK-BPRMF and DK-HRM. Our experimental results on two datasets show that the dynamic-K models are more effective than the original fixed-N recommendation methods.",2020-12-25T13:02:57Z,cs.IR,https://arxiv.org/pdf/2012.13569v1,https://arxiv.org/abs/2012.13569v1,paper investigate recommendation task common scenario implicit feedback eg click purchase stateoftheart method direction usually cast problem learn personalized ranking set item eg webpage product topn result provided user recommendation n usually fixed number predefined system according heuristic criterion eg page size screen size one major assumption underlying fixednumber recommendation scheme ie always sufficient relevant item user preference unfortunately assumption may always hold realworld scenario application might limited candidate item recommend user may high relevance requirement recommendation way even top ranked item may relevant user preference therefore argue critical provide dynamick recommendation k different respect candidate item set target user formulate dynamick recommendation task joint learning problem ranking classification objective ranking objective existing method ie create ranking list item according user interest classification objective unique work aim learn personalized decision boundary differentiate relevant item irrelevant item based idea extend two stateoftheart rankingbased recommendation method ie bprmf hrm corresponding dynamick version namely dkbprmf dkhrm experimental result two datasets show dynamick model effective original fixedn recommendation method,0.9593023255813954,0.9915522373338845,1.4755991836049156
Compliance Generation for Privacy Documents under GDPR: A Roadmap for Implementing Automation and Machine Learning,"David Restrepo Amariles, Aurore Clément Troussel, Rajaa El Hamdani","Most prominent research today addresses compliance with data protection laws through consumer-centric and public-regulatory approaches. We shift this perspective with the Privatech project to focus on corporations and law firms as agents of compliance. To comply with data protection laws, data processors must implement accountability measures to assess and document compliance in relation to both privacy documents and privacy practices. In this paper, we survey, on the one hand, current research on GDPR automation, and on the other hand, the operational challenges corporations face to comply with GDPR, and that may benefit from new forms of automation. We attempt to bridge the gap. We provide a roadmap for compliance assessment and generation by identifying compliance issues, breaking them down into tasks that can be addressed through machine learning and automation, and providing notes about related developments in the Privatech project.",2020-12-23T14:46:51Z,cs.AI,https://arxiv.org/pdf/2012.12718v1,https://arxiv.org/abs/2012.12718v1,prominent research today address compliance data protection law consumercentric publicregulatory approach shift perspective privatech project focus corporation law firm agent compliance comply data protection law data processor must implement accountability measure assess document compliance relation privacy document privacy practice paper survey one hand current research gdpr automation hand operational challenge corporation face comply gdpr may benefit new form automation attempt bridge gap provide roadmap compliance assessment generation identifying compliance issue breaking task addressed machine learning automation providing note related development privatech project,0.47674418604651164,0.9913060923286123,1.2362997080550762
